expected_columns,file_columns,data_type,ccs_rfm_automation,ccs_predictive_modeling
constituent_id,constituent_id,string,TRUE,TRUE
first_name,first_name,string,TRUE,
middle_name,middle_name,string,,
last_name,last_name,string,TRUE,
address_1,address_1,string,TRUE,
address_2,address_2,string,TRUE,
home_city,home_city,string,TRUE,
home_state,home_state,string,TRUE,
home_country,home_country,string,,
home_phone,home_phone,string,,
zip,zip,string,TRUE,
fiscal_month,not_found,integer,,
first_gift_date,first_gift_date,date,TRUE,
first_gift_amount,first_gift_amount,float,,
gift_amount,not_found,float,TRUE,
gift_date,not_found,date,TRUE,
gift_id,not_found,string,TRUE,
gift_type,not_found,string,TRUE,
is_assigned,is_assigned,boolean,,
is_deceased,is_deceased,boolean,TRUE,TRUE
is_individual,is_individual,boolean,TRUE,TRUE
five_year_giving,five_year_giving,float,TRUE,
lifetime_giving,lifetime_giving,float,TRUE,TRUE
loyalty,loyalty,string,,TRUE
loyalty_model_score,loyalty_model_score,string,TRUE,
major_donor_model_score,major_donor_score,string,TRUE,
most_recent_gift_date,most_recent_gift_date,date,TRUE,
most_recent_gift_amount,most_recent_gift_amount,float,,
n_years_giving_of_ten,n_years_giving_of_ten,float,TRUE,
number_of_gifts,number_of_gifts,string,TRUE,
current_trustee,not_found,string,,
current_trustee_indicator,not_found,boolean,TRUE,
past_trustee_indicator,not_found,boolean,,
pg_indicator,not_found,boolean,TRUE,
assigned_manager,assigned_manager,string,TRUE,
account_id,not_found,string,,
account_owner,not_found,string,,
age,not_found,float,,
assigned_manager_2,not_found,string,,
assigned_manager_status,not_found,string,,
business_email,not_found,string,,
business_phone,business_phone,string,,
cell_phone,cell_phone,string,,
children_indicator,not_found,boolean,,
class_year,not_found,string,,
classification,not_found,string,,
constituent_type,constituent_type_1,string,,
constituent_type_date_from,not_found,date,,
constituent_type_date_to,not_found,date,,
constituent_type_2,constituent_type_2,string,,
constituent_type_2_date_from,not_found,date,,
constituent_type_2_date_to,not_found,date,,
creation_date,not_found,date,,
current_trustee_2,not_found,string,,
date_of_last_note,date_of_last_note,date,,
deceased,deceased,string,,
dob,dob,date,,
email_open,not_found,string,,
emails_clicked_through,not_found,string,,
emails_opt_out,not_found,string,,
employer_name,not_found,string,,
first_degree,not_found,string,,
first_degree_major,not_found,string,,
first_degree_school,not_found,string,,
first_degree_year,not_found,string,,
first_gift_amount,not_found,float,,
first_gift_fund,not_found,string,,
first_ticket_purchase_date,not_found,date,,
has_prefix_dr,has_prefix_dr,binary,,
has_business_address,has_business_address,boolean,,
has_seasonal_address,has_seasonal_address,boolean,,
has_screenable_address,has_screenable_address,string,,
has_solicit_codes,has_solicit_codes,boolean,,
has_spouse,has_spouse_binary,boolean,,
head_of_household,head_of_household,string,,
household_id,household_id,string,,
key_indicator,key_indicator,string,,
largest_gift_amount,not_found,amount,,
largest_gift_date,not_found,date,,
largest_gift_fund,not_found,string,,
last_action_date,last_action_date,date,,
last_action_type,last_action_type,string,,
last_gift_fund,not_found,string,,
legacy_alumni,not_found,string,,
legacy_giving_society,not_found,string,,
lifetime_hard_credits,lifetime_hard_credits,string,,
lifetime_soft_credits,not_found,string,,
marital_status,marital_status,string,,
membership_type,not_found,string,,
modification_date,modification_date,date,,
most_recent_purchase_date,not_found,date,,
number_of_alumni_activites_attended,not_found,int,,
number_of_children,not_found,int,,
number_of_degrees,not_found,int,,
number_of_events_attended,number_of_special_events_attended,int,,
number_of_reunions_attended,not_found,int,,
number_of_volunteer_activities,not_found,int,,
occupation,not_found,string,,
org_name,org_name,string,,
past_trustee,past_trustee,string,,
past_trustee_2,not_found,string,,
patient_encounter_date,not_found,date,,
patient_indicator,not_found,boolean,,
patient_physician_record,not_found,string,,
patient_primary_service_area,not_found,string,,
personal_email,personal_email,string,,
planned_gift_amount,not_found,amount,,
planned_gift_commitment,not_found,string,,
preferred_address_type,not_found,string,,
prefix,not_found,string,,
previous_campaign_contribution,not_found,string,,
received_scholarship,not_found,string,,
retired,not_found,string,,
second_degree,not_found,string,,
second_degree_major,not_found,string,,
second_degree_school,not_found,string,,
second_degree_year,not_found,string,,
spouse_age,not_found,float,,
spouse_business_name,spouse_business_name,string,,
spouse_business_title,spouse_business_title,string,,
spouse_dob,spouse_dob,date,,
spouse_email,spouse_email,string,,
spouse_id,not_found,string,,
spouse_name,spouse_name,string,,
spouse_phone,not_found,string,,
status,not_found,string,,
student_activity,not_found,string,,
suffix,suffix,string,,
third_degree,not_found,string,,
third_degree_major,not_found,string,,
third_degree_school,not_found,string,,
third_degree_year,not_found,string,,
total_actions,not_found,string,,
total_giving_current_year,not_found,float,,
total_giving_year1_ago,not_found,float,,
total_giving_year10_ago,not_found,float,,
total_giving_year2_ago,not_found,float,,
total_giving_year3_ago,not_found,float,,
total_giving_year4_ago,not_found,float,,
total_giving_year5_ago,not_found,float,,
total_giving_year6_ago,not_found,float,,
total_giving_year7_ago,not_found,float,,
total_giving_year8_ago,not_found,float,,
total_giving_year9_ago,not_found,float,,
total_notes,total_notes,string,,
total_number_of_tickets,not_found,string,,
first_ticket_date,not_found,date,,
last_ticket_date,not_found,date,,
total_ticket_revenue,not_found,string,,
wealth_screen_data,not_found,string,,
